TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Center,Cross,0.998289,True,False,1
2,Center,Cross,3.863804,True,False,2
3,Center,Uncross,-0.998289,True,False,1
4,Center,Cross,12.51518,True,True,3
5,Center,Uncross,-3.863804,True,True,2
6,Center,Uncross,-2.520038,True,True,3
7,Center,Cross,8.76524,True,False,4
8,Center,Cross,13.43915,True,False,5
9,Center,Cross,32.73824,True,True,6
10,Center,Cross,23.76015,True,True,7
11,Center,Cross,19.8844,True,False,8
12,Center,Cross,26.43938,True,True,9
13,Center,Cross,24.62161,True,False,10
14,Center,Uncross,-1.895258,True,False,4
15,Center,Cross,31.59278,True,True,11
16,Center,Cross,29.42072,True,False,12
17,Center,Cross,37.75067,True,True,13
18,Center,Cross,33.92521,True,False,14
19,Center,Uncross,-2.706087,True,False,5
20,Center,Cross,43.53053,True,False,15
21,Center,Cross,59.97911,True,True,16
22,Center,Cross,57.88056,True,False,17
23,Center,Cross,59.97911,True,True,18
24,Center,Uncross,-3.863804,True,True,6
25,Center,Uncross,-3.472266,True,False,7
26,Center,Uncross,-4.616914,True,False,8
27,Center,Cross,59.97911,True,True,19
28,Center,Cross,59.97911,True,True,20
29,Center,Uncross,-12.0773,True,True,9
30,Center,Uncross,-8.458562,True,True,10
31,Center,Cross,59.97911,True,True,21
32,Center,Uncross,-6.831129,True,True,11
33,Center,Cross,57.88056,True,False,22
34,Center,Uncross,-6.138899,True,False,12
35,Center,Cross,59.97911,True,True,23
36,Center,Uncross,-7.877018,True,False,13
37,Center,Cross,59.97911,True,False,24
38,Center,Uncross,-10.47371,True,True,14
39,Center,Uncross,-9.412359,True,False,15
40,Center,Cross,59.97911,True,False,25
41,Center,Uncross,-12.0773,True,True,16
42,Center,Uncross,-11.24696,True,False,17
43,Center,Uncross,-14.43134,True,False,18
44,Center,Uncross,-30.48742,True,False,19
45,Center,Uncross,-59.97911,True,False,20
46,Center,Uncross,-59.97911,True,True,21
47,Center,Uncross,-59.97911,True,True,22
48,Center,Uncross,-59.97911,True,False,23
49,Center,Uncross,-59.97911,True,False,24
50,Center,Uncross,-59.97911,True,True,25
51,Peripheral,Uncross,-0.998289,True,True,1
52,Peripheral,Uncross,-0.5646495,True,False,2
53,Peripheral,Uncross,-0.8971277,True,True,3
54,Peripheral,Uncross,-0.7780096,True,True,4
55,Peripheral,Cross,0.998289,True,False,1
56,Peripheral,Cross,3.863804,True,True,2
57,Peripheral,Uncross,-0.7245198,True,True,5
58,Peripheral,Cross,2.520038,True,False,3
59,Peripheral,Cross,3.863804,True,True,4
60,Peripheral,Cross,3.350779,True,True,5
61,Peripheral,Uncross,-0.6747076,True,True,6
62,Peripheral,Uncross,-0.6511009,True,True,7
63,Peripheral,Cross,3.120406,True,True,6
64,Peripheral,Cross,2.905871,True,True,7
65,Peripheral,Cross,2.804201,True,True,8
66,Peripheral,Uncross,-0.6063364,True,True,8
67,Peripheral,Cross,2.706087,True,True,9
68,Peripheral,Cross,2.611406,True,True,10
69,Peripheral,Cross,2.520038,True,True,11
70,Peripheral,Uncross,-0.5851218,True,True,9
71,Peripheral,Uncross,-0.5646495,True,True,10
72,Peripheral,Cross,2.431866,True,True,12
73,Peripheral,Uncross,-0.5448934,True,True,11
74,Peripheral,Uncross,-0.5258287,True,True,12
75,Peripheral,Cross,2.34678,True,True,13
76,Peripheral,Cross,2.264671,True,True,14
77,Peripheral,Uncross,-0.5074309,True,True,13
78,Peripheral,Cross,2.264671,True,True,15
79,Peripheral,Uncross,-0.5074309,True,True,14
80,Peripheral,Uncross,-0.4896769,True,True,15
81,Peripheral,Uncross,-0.472544,True,True,16
82,Peripheral,Cross,2.185434,True,True,16
83,Peripheral,Cross,2.10897,True,True,17
84,Peripheral,Uncross,-0.472544,True,True,17
85,Peripheral,Uncross,-0.4560106,True,True,18
86,Peripheral,Uncross,-0.4400556,True,True,19
