TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Peripheral,Uncross,-0.9884959,True,True,1
2,Peripheral,Cross,0.9884959,True,False,1
3,Peripheral,Cross,3.827495,True,True,2
4,Peripheral,Cross,2.523539,True,True,3
5,Peripheral,Uncross,-0.5672426,True,False,2
6,Peripheral,Cross,1.911644,True,True,4
7,Peripheral,Cross,1.607053,True,False,5
8,Peripheral,Uncross,-0.8907354,True,False,3
9,Peripheral,Uncross,-1.846425,True,True,4
10,Peripheral,Cross,2.196385,True,True,6
11,Peripheral,Cross,1.979167,True,True,7
12,Peripheral,Uncross,-1.350994,True,True,5
13,Peripheral,Cross,1.846425,True,True,8
14,Peripheral,Uncross,-1.17585,True,True,6
15,Peripheral,Uncross,-1.096986,True,False,7
16,Peripheral,Cross,1.783431,True,True,9
17,Peripheral,Cross,1.722586,True,True,10
18,Peripheral,Cross,1.663817,True,True,11
19,Peripheral,Cross,1.607053,True,True,12
20,Peripheral,Cross,1.552225,True,True,13
21,Peripheral,Uncross,-1.350994,True,True,8
22,Peripheral,Cross,1.499268,True,True,14
23,Peripheral,Cross,1.499268,True,True,15
24,Peripheral,Cross,1.448118,True,True,16
25,Peripheral,Cross,1.398713,True,True,17
26,Peripheral,Cross,1.398713,True,True,18
27,Peripheral,Uncross,-1.260383,True,False,9
28,Peripheral,Cross,1.350994,True,True,19
29,Peripheral,Cross,1.350994,True,True,20
30,Peripheral,Uncross,-1.552225,True,True,10
31,Peripheral,Cross,1.304902,True,True,21
32,Peripheral,Cross,1.304902,True,True,22
33,Peripheral,Uncross,-1.448118,True,True,11
34,Peripheral,Uncross,-1.398713,True,False,12
35,Peripheral,Uncross,-1.607053,True,True,13
36,Peripheral,Cross,1.260383,True,False,23
37,Peripheral,Cross,1.350994,True,False,24
38,Peripheral,Cross,1.398713,True,False,25
39,Peripheral,Uncross,-1.552225,True,True,14
40,Peripheral,Uncross,-1.499268,True,True,15
41,Peripheral,Uncross,-1.448118,True,True,16
42,Peripheral,Uncross,-1.398713,True,True,17
43,Peripheral,Uncross,-1.398713,True,True,18
44,Peripheral,Uncross,-1.350994,True,True,19
45,Peripheral,Uncross,-1.350994,True,True,20
46,Peripheral,Uncross,-1.304902,True,True,21
47,Peripheral,Uncross,-1.304902,True,True,22
48,Peripheral,Uncross,-1.260383,True,True,23
49,Peripheral,Uncross,-1.260383,True,True,24
50,Peripheral,Uncross,-1.260383,True,True,25
51,Center,Cross,0.9884959,True,False,1
52,Center,Cross,3.827495,True,True,2
53,Center,Cross,2.523539,True,True,3
54,Center,Uncross,-0.9884959,True,True,1
55,Center,Uncross,-0.5672426,True,True,2
56,Center,Uncross,-0.3370064,True,True,3
57,Center,Uncross,-0.2072922,True,True,4
58,Center,Uncross,-0.1275051,True,True,5
59,Center,Uncross,-0.1,True,True,6
60,Center,Cross,1.911644,True,True,4
61,Center,Uncross,-0.1,True,True,7
62,Center,Uncross,-0.1,True,True,8
63,Center,Cross,1.607053,True,True,5
64,Center,Uncross,-0.1,True,True,9
65,Center,Uncross,-0.1,True,True,10
66,Center,Uncross,-0.1,True,True,11
67,Center,Uncross,-0.1,True,True,12
68,Center,Uncross,-0.1,True,True,13
69,Center,Cross,1.398713,True,True,6
70,Center,Cross,1.304902,True,True,7
71,Center,Uncross,-0.1,True,True,14
72,Center,Uncross,-0.1,True,True,15
73,Center,Uncross,-0.1,True,True,16
74,Center,Uncross,-0.1,True,False,17
75,Center,Uncross,-0.1,True,True,18
76,Center,Cross,1.217383,True,False,8
77,Center,Uncross,-0.1,True,True,19
78,Center,Uncross,-0.1,True,True,20
79,Center,Uncross,-0.1,True,True,21
80,Center,Cross,1.448118,True,True,9
81,Center,Cross,1.398713,True,True,10
82,Center,Cross,1.350994,True,False,11
83,Center,Cross,1.552225,True,False,12
84,Center,Cross,1.783431,True,True,13
85,Center,Uncross,-0.1,True,True,22
86,Center,Uncross,-0.1,True,True,23
87,Center,Uncross,-0.1,True,True,24
88,Center,Uncross,-0.1,True,True,25
89,Center,Cross,1.722586,True,True,14
90,Center,Cross,1.663817,True,True,15
91,Center,Cross,1.607053,True,False,16
92,Center,Cross,1.783431,True,False,17
93,Center,Cross,2.049075,True,True,18
94,Center,Cross,1.979167,True,True,19
95,Center,Cross,1.911644,True,True,20
96,Center,Cross,1.846425,True,True,21
97,Center,Cross,1.846425,True,True,22
98,Center,Cross,1.783431,True,True,23
99,Center,Cross,1.722586,True,True,24
100,Center,Cross,1.722586,True,True,25
101,Peripheral,Cross,0.9884959,True,False,1
102,Peripheral,Uncross,-0.9884959,True,True,1
103,Peripheral,Uncross,-0.5672426,True,True,2
104,Peripheral,Cross,3.827495,True,True,2
105,Peripheral,Cross,2.523539,True,True,3
106,Peripheral,Uncross,-0.3370064,True,True,3
107,Peripheral,Uncross,-0.2072922,True,True,4
108,Peripheral,Uncross,-0.1275051,True,True,5
109,Peripheral,Cross,1.911644,True,True,4
110,Peripheral,Uncross,-0.1,True,True,6
111,Peripheral,Cross,1.607053,True,True,5
112,Peripheral,Uncross,-0.1,True,True,7
113,Peripheral,Cross,1.398713,True,True,6
114,Peripheral,Cross,1.304902,True,True,7
115,Peripheral,Cross,1.217383,True,True,8
116,Peripheral,Uncross,-0.1,True,True,8
117,Peripheral,Uncross,-0.1,True,False,9
