TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Center,Cross,0.998289,True,True,1
2,Center,Uncross,-0.998289,True,True,1
3,Center,Cross,0.5646495,True,True,2
4,Center,Uncross,-0.5646495,True,True,2
5,Center,Uncross,-0.3309549,True,True,3
6,Center,Uncross,-0.2010139,True,True,4
7,Center,Cross,0.3309549,True,False,3
8,Center,Cross,0.5258287,True,True,4
9,Center,Uncross,-0.1265176,True,False,5
10,Center,Uncross,-0.1939808,True,True,6
11,Center,Uncross,-0.1743239,True,True,7
12,Center,Uncross,-0.1566588,True,True,8
13,Center,Uncross,-0.1511776,True,True,9
14,Center,Uncross,-0.1407838,True,False,10
15,Center,Uncross,-0.1623387,True,False,11
16,Center,Cross,0.4560106,True,True,5
17,Center,Uncross,-0.1939808,True,True,12
18,Center,Uncross,-0.1806442,True,True,13
19,Center,Cross,0.4246589,True,True,6
20,Center,Cross,0.3954627,True,True,7
21,Center,Cross,0.3682739,True,True,8
22,Center,Uncross,-0.1743239,True,False,14
23,Center,Cross,0.3553886,True,True,9
24,Center,Uncross,-0.2010139,True,False,15
25,Center,Uncross,-0.2401944,True,False,16
26,Center,Uncross,-0.3082011,True,False,17
27,Center,Uncross,-0.4400556,True,False,18
28,Center,Uncross,-0.6511009,True,True,19
29,Center,Cross,0.3429543,True,True,10
30,Center,Uncross,-0.5646495,True,True,20
31,Center,Cross,0.3309549,True,True,11
32,Center,Cross,0.3193755,True,True,12
33,Center,Uncross,-0.5258287,True,True,21
34,Center,Uncross,-0.4896769,True,True,22
35,Center,Cross,0.3082011,True,True,13
36,Center,Cross,0.2974177,True,False,14
37,Center,Uncross,-0.472544,True,True,23
38,Center,Uncross,-0.4560106,True,True,24
39,Center,Uncross,-0.4400556,True,True,25
40,Center,Cross,0.3309549,True,True,15
41,Center,Cross,0.3193755,True,True,16
42,Center,Cross,0.3193755,True,True,17
43,Center,Cross,0.3082011,True,True,18
44,Center,Cross,0.3082011,True,True,19
45,Center,Cross,0.2974177,True,False,20
46,Center,Cross,0.3193755,True,True,21
47,Center,Cross,0.3082011,True,True,22
48,Center,Cross,0.3082011,True,False,23
49,Center,Cross,0.3309549,True,True,24
50,Center,Cross,0.3193755,True,True,25
51,Peripheral,Uncross,-0.998289,True,True,1
52,Peripheral,Cross,0.998289,True,True,1
53,Peripheral,Cross,0.5646495,True,True,2
54,Peripheral,Uncross,-0.5646495,True,False,2
55,Peripheral,Uncross,-0.8971277,True,True,3
56,Peripheral,Cross,0.3309549,True,True,3
57,Peripheral,Uncross,-0.7780096,True,True,4
58,Peripheral,Cross,0.2010139,True,True,4
59,Peripheral,Uncross,-0.7245198,True,True,5
60,Peripheral,Uncross,-0.6747076,True,True,6
61,Peripheral,Cross,0.1265176,True,True,5
62,Peripheral,Cross,0.07962975,True,False,6
63,Peripheral,Uncross,-0.6511009,True,True,7
64,Peripheral,Cross,0.1220909,True,True,7
65,Peripheral,Uncross,-0.6063364,True,True,8
66,Peripheral,Cross,0.1097189,True,True,8
67,Peripheral,Uncross,-0.5851218,True,True,9
68,Peripheral,Uncross,-0.5646495,True,True,10
69,Peripheral,Uncross,-0.5448934,True,False,11
70,Peripheral,Uncross,-0.6063364,True,True,12
71,Peripheral,Uncross,-0.5851218,True,True,13
72,Peripheral,Uncross,-0.5851218,True,True,14
73,Peripheral,Cross,0.09860057,True,True,9
74,Peripheral,Cross,0.09515074,True,True,10
75,Peripheral,Cross,0.08860892,True,True,11
76,Peripheral,Cross,0.08550865,True,True,12
77,Peripheral,Uncross,-0.5646495,True,True,15
78,Peripheral,Cross,0.08251687,True,True,13
79,Peripheral,Uncross,-0.5448934,True,True,16
80,Peripheral,Uncross,-0.5448934,True,True,17
81,Peripheral,Uncross,-0.5258287,True,True,18
82,Peripheral,Cross,0.07962975,True,True,14
83,Peripheral,Uncross,-0.5258287,True,True,19
84,Peripheral,Cross,0.07684366,True,True,15
85,Peripheral,Cross,0.07415506,True,True,16
86,Peripheral,Uncross,-0.5074309,True,True,20
87,Peripheral,Uncross,-0.5074309,True,True,21
88,Peripheral,Cross,0.0715605,True,True,17
89,Peripheral,Uncross,-0.5074309,True,True,22
90,Peripheral,Cross,0.0715605,True,False,18
91,Peripheral,Cross,0.07684366,True,True,19
92,Peripheral,Cross,0.07684366,True,True,20
93,Peripheral,Uncross,-0.4896769,True,False,23
94,Peripheral,Cross,0.07415506,True,False,21
95,Peripheral,Uncross,-0.5258287,True,False,24
96,Peripheral,Cross,0.07962975,True,True,22
97,Peripheral,Cross,0.07684366,True,True,23
98,Peripheral,Uncross,-0.5448934,True,True,25
99,Peripheral,Cross,0.07684366,True,True,24
100,Peripheral,Cross,0.07684366,True,True,25
101,Center,Cross,0.998289,True,True,1
102,Center,Cross,0.5646495,True,True,2
103,Center,Cross,0.3309549,True,True,3
104,Center,Uncross,-0.998289,True,True,1
105,Center,Uncross,-0.5646495,True,True,2
106,Center,Uncross,-0.3309549,True,True,3
107,Center,Cross,0.2010139,True,True,4
108,Center,Uncross,-0.2010139,True,False,4
109,Center,Uncross,-0.3193755,True,True,5
110,Center,Uncross,-0.2769697,True,True,6
111,Center,Cross,0.1265176,True,True,5
112,Center,Cross,0.07962975,True,True,6
113,Center,Cross,0.05011873,True,True,7
114,Center,Cross,0.05011873,True,False,8
115,Center,Cross,0.06905674,True,True,9
116,Center,Uncross,-0.2579274,True,False,7
117,Center,Uncross,-0.3193755,True,True,8
118,Center,Cross,0.06205891,True,True,10
119,Center,Uncross,-0.2974177,True,True,9
120,Center,Cross,0.05779223,True,False,11
121,Center,Uncross,-0.2870117,True,True,10
122,Center,Uncross,-0.2769697,True,True,11
123,Center,Uncross,-0.267279,True,True,12
124,Center,Uncross,-0.2579274,True,True,13
125,Center,Uncross,-0.248903,True,True,14
126,Center,Uncross,-0.248903,True,True,15
127,Center,Cross,0.06905674,True,True,12
128,Center,Cross,0.06664057,True,False,13
129,Center,Cross,0.07962975,True,True,14
130,Center,Cross,0.07684366,True,False,15
131,Center,Cross,0.09182157,True,False,16
132,Center,Uncross,-0.2401944,True,True,16
133,Center,Uncross,-0.2317904,True,True,17
134,Center,Uncross,-0.2317904,True,True,18
135,Center,Cross,0.1178192,True,True,17
136,Center,Uncross,-0.2236805,True,False,19
137,Center,Cross,0.1097189,True,True,18
138,Center,Cross,0.1021755,True,False,19
139,Center,Cross,0.1220909,True,True,20
140,Center,Cross,0.1178192,True,True,21
141,Center,Uncross,-0.2401944,True,False,20
142,Center,Cross,0.1097189,True,False,22
143,Center,Cross,0.1265176,True,False,23
144,Center,Uncross,-0.2579274,True,True,21
145,Center,Uncross,-0.248903,True,True,22
146,Center,Cross,0.1511776,True,False,24
147,Center,Cross,0.1939808,True,False,25
