TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Peripheral,Cross,0.9884959,True,False,1
2,Peripheral,Uncross,-0.9884959,True,False,1
3,Peripheral,Uncross,-3.827495,True,False,2
4,Peripheral,Uncross,-12.45883,True,False,3
5,Peripheral,Uncross,-37.83463,True,True,4
6,Peripheral,Uncross,-26.73842,True,True,5
7,Peripheral,Cross,3.827495,True,True,2
8,Peripheral,Cross,2.523539,True,True,3
9,Peripheral,Uncross,-21.71118,True,True,6
10,Peripheral,Cross,1.911644,True,True,4
11,Peripheral,Uncross,-18.89652,True,False,7
12,Peripheral,Cross,1.607053,True,False,5
13,Peripheral,Uncross,-24.94508,True,False,8
14,Peripheral,Uncross,-32.92971,True,True,9
15,Peripheral,Cross,2.196385,True,True,6
16,Peripheral,Cross,1.979167,True,True,7
17,Peripheral,Uncross,-29.67302,True,True,10
18,Peripheral,Cross,1.846425,True,True,8
19,Peripheral,Cross,1.783431,True,False,9
20,Peripheral,Cross,2.049075,True,True,10
21,Peripheral,Uncross,-28.66068,True,False,11
22,Peripheral,Uncross,-34.09285,True,True,12
23,Peripheral,Uncross,-31.80626,True,False,13
24,Peripheral,Uncross,-37.83463,True,True,14
25,Peripheral,Uncross,-36.54383,True,False,15
26,Peripheral,Uncross,-45.00557,True,False,16
27,Peripheral,Uncross,-75.75251,True,False,17
28,Peripheral,Cross,1.979167,True,False,11
29,Peripheral,Cross,2.273966,True,True,12
30,Peripheral,Uncross,-100,True,False,18
31,Peripheral,Cross,2.196385,True,True,13
32,Peripheral,Cross,2.121452,True,True,14
33,Peripheral,Cross,2.049075,True,False,15
34,Peripheral,Cross,2.273966,True,True,16
35,Peripheral,Uncross,-100,True,True,19
36,Peripheral,Cross,2.196385,True,False,17
37,Peripheral,Uncross,-100,True,False,20
38,Peripheral,Cross,2.437444,True,False,18
39,Peripheral,Cross,2.800504,True,True,19
40,Peripheral,Uncross,-100,True,True,21
41,Peripheral,Uncross,-100,True,False,22
42,Peripheral,Cross,2.70496,True,False,20
43,Peripheral,Uncross,-100,True,True,23
44,Peripheral,Uncross,-100,True,False,24
45,Peripheral,Uncross,-100,True,False,25
46,Peripheral,Cross,3.107866,True,False,21
47,Peripheral,Cross,3.827495,True,False,22
48,Peripheral,Cross,6.669919,True,True,23
49,Peripheral,Cross,5.231099,True,False,24
50,Peripheral,Cross,7.934097,True,True,25
51,Center,Cross,0.9884959,True,True,1
52,Center,Cross,0.5672426,True,False,2
53,Center,Uncross,-0.9884959,True,False,1
54,Center,Cross,0.8907354,True,False,3
55,Center,Cross,1.846425,True,False,4
56,Center,Uncross,-3.827495,True,False,2
57,Center,Cross,6.669919,True,True,5
58,Center,Cross,4.397604,True,True,6
59,Center,Cross,3.448962,True,True,7
60,Center,Uncross,-12.45883,True,False,3
61,Center,Uncross,-37.83463,True,True,4
62,Center,Uncross,-26.73842,True,False,5
63,Center,Cross,2.899423,True,True,8
64,Center,Uncross,-40.55461,True,True,6
65,Center,Cross,2.612675,True,True,9
66,Center,Cross,2.354286,True,False,10
67,Center,Uncross,-35.29707,True,False,7
68,Center,Cross,2.899423,True,True,11
69,Center,Cross,2.800504,True,False,12
70,Center,Cross,3.331295,True,True,13
71,Center,Cross,3.107866,True,True,14
72,Center,Cross,3.001836,True,True,15
73,Center,Uncross,-48.24109,True,False,8
74,Center,Cross,2.899423,True,True,16
75,Center,Cross,2.800504,True,True,17
76,Center,Uncross,-100,True,True,9
77,Center,Cross,2.800504,True,True,18
78,Center,Cross,2.70496,True,True,19
79,Center,Cross,2.612675,True,True,20
80,Center,Cross,2.612675,True,True,21
81,Center,Cross,2.523539,True,False,22
82,Center,Cross,2.70496,True,False,23
83,Center,Uncross,-75.75251,True,False,10
84,Center,Cross,2.899423,True,False,24
85,Center,Uncross,-100,True,False,11
86,Center,Uncross,-100,True,False,12
87,Center,Cross,3.107866,True,False,25
88,Center,Uncross,-100,True,False,13
89,Center,Uncross,-100,True,True,14
90,Center,Uncross,-100,True,False,15
91,Center,Uncross,-100,True,True,16
92,Center,Uncross,-100,True,False,17
93,Center,Uncross,-100,True,True,18
94,Center,Uncross,-100,True,False,19
95,Center,Uncross,-100,True,True,20
96,Center,Uncross,-100,True,False,21
97,Center,Uncross,-100,True,True,22
98,Center,Uncross,-100,True,False,23
99,Center,Uncross,-100,True,True,24
100,Center,Uncross,-100,True,False,25
101,Center,Cross,0.9884959,True,True,1
102,Center,Cross,0.5672426,True,True,2
103,Center,Cross,0.3370064,True,True,3
104,Center,Cross,0.2072922,True,False,4
105,Center,Uncross,-0.9884959,True,False,1
106,Center,Cross,0.3255089,True,False,5
107,Center,Uncross,-3.827495,True,False,2
108,Center,Uncross,-12.45883,True,False,3
109,Center,Cross,0.4768612,True,False,6
110,Center,Cross,0.698588,True,False,7
111,Center,Uncross,-37.83463,True,False,4
112,Center,Cross,1.023411,True,True,8
113,Center,Uncross,-100,True,False,5
114,Center,Cross,0.8907354,True,False,9
115,Center,Uncross,-100,True,True,6
116,Center,Cross,1.217383,True,False,10
117,Center,Uncross,-100,True,True,7
118,Center,Uncross,-100,True,False,8
119,Center,Cross,3.827495,True,True,11
120,Center,Uncross,-100,True,True,9
121,Center,Cross,2.523539,True,False,12
122,Center,Cross,3.827495,True,False,13
123,Center,Uncross,-100,True,False,10
124,Center,Uncross,-100,True,True,11
125,Center,Uncross,-100,True,False,12
126,Center,Uncross,-100,True,True,13
127,Center,Uncross,-100,True,True,14
128,Center,Uncross,-100,True,True,15
