TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Center,Uncross,-0.9884959,True,False,1
2,Center,Uncross,-3.827495,True,False,2
3,Center,Uncross,-12.45883,True,False,3
4,Center,Cross,0.9884959,True,True,1
5,Center,Cross,0.5672426,True,True,2
6,Center,Uncross,-37.83463,True,True,4
7,Center,Cross,0.3370064,True,True,3
8,Center,Cross,0.2072922,True,False,4
9,Center,Uncross,-26.73842,True,False,5
10,Center,Cross,0.3255089,True,False,5
11,Center,Cross,0.4768612,True,True,6
12,Center,Cross,0.4150405,True,True,7
13,Center,Cross,0.3872039,True,True,8
14,Center,Cross,0.3739937,True,False,9
15,Center,Cross,0.4448783,True,False,10
16,Center,Uncross,-40.55461,True,True,6
17,Center,Cross,0.5478901,True,False,11
18,Center,Cross,0.7488104,True,True,12
19,Center,Cross,0.6747544,True,True,13
20,Center,Cross,0.6294989,True,False,14
21,Center,Cross,0.7488104,True,True,15
22,Center,Cross,0.7232634,True,True,16
23,Center,Cross,0.698588,True,True,17
24,Center,Uncross,-35.29707,True,False,7
25,Center,Uncross,-48.24109,True,False,8
26,Center,Cross,0.6747544,True,False,18
27,Center,Cross,0.7488104,True,True,19
28,Center,Cross,0.7232634,True,True,20
29,Center,Uncross,-100,True,False,9
30,Center,Uncross,-100,True,False,10
31,Center,Cross,0.698588,True,True,21
32,Center,Uncross,-100,True,False,11
33,Center,Cross,0.698588,True,True,22
34,Center,Uncross,-100,True,False,12
35,Center,Uncross,-100,True,False,13
36,Center,Cross,0.6747544,True,True,23
37,Center,Uncross,-100,True,False,14
38,Center,Uncross,-100,True,False,15
39,Center,Cross,0.651734,True,True,24
40,Center,Cross,0.651734,True,False,25
41,Center,Uncross,-100,True,False,16
42,Center,Uncross,-100,True,False,17
43,Center,Uncross,-100,True,False,18
44,Center,Uncross,-100,True,False,19
45,Center,Uncross,-100,True,False,20
46,Center,Uncross,-100,True,False,21
47,Center,Uncross,-100,True,False,22
48,Center,Uncross,-100,True,False,23
49,Center,Uncross,-100,True,False,24
50,Center,Uncross,-100,True,False,25
51,Peripheral,Uncross,-0.9884959,True,False,1
52,Peripheral,Cross,0.9884959,True,True,1
53,Peripheral,Cross,0.5672426,True,True,2
54,Peripheral,Uncross,-3.827495,True,True,2
55,Peripheral,Cross,0.3370064,True,False,3
56,Peripheral,Cross,0.5291979,True,True,4
57,Peripheral,Uncross,-2.523539,True,True,3
58,Peripheral,Uncross,-1.911644,True,True,4
59,Peripheral,Uncross,-1.607053,True,True,5
60,Peripheral,Uncross,-1.398713,True,True,6
