TrialID,Condition,Series,DisparityArcmin,IsTestSecond,IsCorrect,QuestTrial
1,Center,Cross,0.9884959,True,False,1
2,Center,Cross,3.827495,True,True,2
3,Center,Uncross,-0.9884959,True,True,1
4,Center,Cross,2.523539,True,True,3
5,Center,Cross,1.911644,True,True,4
6,Center,Cross,1.607053,True,True,5
7,Center,Cross,1.398713,True,True,6
8,Center,Cross,1.304902,True,True,7
9,Center,Uncross,-0.5672426,True,True,2
10,Center,Uncross,-0.3370064,True,True,3
11,Center,Cross,1.217383,True,True,8
12,Center,Cross,1.135733,True,True,9
13,Center,Cross,1.096986,True,True,10
14,Center,Uncross,-0.2072922,True,True,4
15,Center,Uncross,-0.1275051,True,True,5
16,Center,Cross,1.023411,True,True,11
17,Center,Uncross,-0.1,True,True,6
18,Center,Uncross,-0.1,True,True,7
19,Center,Cross,0.9884959,True,True,12
20,Center,Uncross,-0.1,True,True,8
21,Center,Uncross,-0.1,True,True,9
22,Center,Uncross,-0.1,True,True,10
23,Center,Cross,0.9547716,True,True,13
24,Center,Uncross,-0.1,True,True,11
25,Center,Uncross,-0.1,True,True,12
26,Center,Cross,0.9221979,True,True,14
27,Center,Uncross,-0.1,True,True,13
28,Center,Uncross,-0.1,True,True,14
29,Center,Cross,0.9221979,True,True,15
30,Center,Cross,0.8907354,True,True,16
31,Center,Cross,0.8603464,True,True,17
32,Center,Cross,0.8309942,True,True,18
33,Center,Cross,0.8309942,True,True,19
34,Center,Cross,0.8026434,True,True,20
35,Center,Uncross,-0.1,True,True,15
36,Center,Cross,0.7752597,True,True,21
37,Center,Cross,0.7752597,True,True,22
38,Center,Cross,0.7488104,True,True,23
39,Center,Cross,0.7232634,True,True,24
40,Center,Uncross,-0.1,True,False,16
41,Center,Cross,0.4150405,True,True,25
42,Center,Uncross,-0.1,True,True,17
43,Center,Uncross,-0.1,True,True,18
44,Center,Uncross,-0.1,True,True,19
45,Center,Uncross,-0.1,True,False,20
46,Center,Uncross,-0.1,True,True,21
47,Center,Uncross,-0.1,True,True,22
48,Center,Uncross,-0.1,True,True,23
49,Center,Uncross,-0.1,True,True,24
50,Center,Uncross,-0.1,True,True,25
